epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.855,1.83503,2.25444,1.72063,0.40712,0.34214,0.30142,0.12095,2.22894,3.01728,2.19036,0.000665242,0.000665242,0.000665242
2,350.261,1.88518,1.92731,1.76109,0.37177,0.31637,0.26687,0.11061,2.23803,2.46202,2.1094,0.00130993,0.00130993,0.00130993
3,511.331,1.85104,1.88239,1.7236,0.34996,0.20812,0.18009,0.07342,2.41615,2.84338,2.23881,0.00193262,0.00193262,0.00193262
4,671.091,1.8046,1.78977,1.68275,0.50835,0.40238,0.39977,0.16892,2.11842,2.13462,1.96301,0.001901,0.001901,0.001901
5,830.948,1.7579,1.71542,1.64167,0.57688,0.45425,0.47264,0.2177,1.97605,1.87888,1.85219,0.001868,0.001868,0.001868
6,992.35,1.73002,1.6586,1.62213,0.55302,0.42043,0.44804,0.20424,1.96763,1.91155,1.84079,0.001835,0.001835,0.001835
7,1152.68,1.70492,1.60298,1.61002,0.60427,0.48325,0.52196,0.24269,1.95838,1.79291,1.82819,0.001802,0.001802,0.001802
8,1312.5,1.68068,1.57173,1.58692,0.63043,0.5145,0.55126,0.25542,1.88481,1.83087,1.76395,0.001769,0.001769,0.001769
9,1473.69,1.65934,1.54742,1.57565,0.63522,0.54317,0.58764,0.27539,1.87776,1.58051,1.74186,0.001736,0.001736,0.001736
10,1632.48,1.65112,1.505,1.57326,0.64062,0.51933,0.57257,0.28451,1.85491,1.57762,1.74894,0.001703,0.001703,0.001703
11,1791.04,1.6326,1.48033,1.55117,0.68621,0.53673,0.59689,0.28721,1.86701,1.57749,1.76164,0.00167,0.00167,0.00167
12,1949.45,1.60281,1.44095,1.53723,0.64968,0.50193,0.56001,0.26576,1.89563,1.66248,1.76904,0.001637,0.001637,0.001637
13,2106.95,1.59727,1.42707,1.52614,0.67868,0.58119,0.63731,0.31249,1.80102,1.45027,1.69,0.001604,0.001604,0.001604
14,2265.88,1.58568,1.41305,1.52742,0.70553,0.56501,0.63589,0.30791,1.82424,1.47888,1.73574,0.001571,0.001571,0.001571
15,2423.98,1.57123,1.38961,1.51163,0.69352,0.58795,0.65654,0.32983,1.79107,1.42041,1.70901,0.001538,0.001538,0.001538
16,2580.97,1.57591,1.38567,1.52488,0.70954,0.58237,0.65614,0.32831,1.79611,1.42272,1.69576,0.001505,0.001505,0.001505
17,2738.94,1.55168,1.36427,1.49806,0.70464,0.56604,0.62894,0.31698,1.81822,1.49829,1.70179,0.001472,0.001472,0.001472
18,2896.09,1.54044,1.34301,1.49498,0.7078,0.59987,0.6666,0.33347,1.77144,1.39649,1.67559,0.001439,0.001439,0.001439
19,3053.22,1.53211,1.33691,1.48472,0.70784,0.60631,0.67145,0.34944,1.74252,1.35508,1.64,0.001406,0.001406,0.001406
20,3211.28,1.54262,1.32728,1.49079,0.68078,0.60049,0.65838,0.33285,1.7727,1.38444,1.67913,0.001373,0.001373,0.001373
21,3369.57,1.51945,1.29687,1.4791,0.71533,0.61727,0.68365,0.34717,1.75869,1.32436,1.68067,0.00134,0.00134,0.00134
22,3528.28,1.50738,1.28358,1.467,0.75551,0.60231,0.6893,0.36057,1.72168,1.3295,1.63069,0.001307,0.001307,0.001307
23,3686.58,1.4994,1.26976,1.46782,0.72243,0.62436,0.69153,0.36633,1.71039,1.31218,1.63994,0.001274,0.001274,0.001274
24,3845.67,1.48072,1.25497,1.44934,0.75319,0.62332,0.70405,0.36989,1.71273,1.28056,1.61215,0.001241,0.001241,0.001241
25,4003.31,1.48004,1.25489,1.44457,0.7299,0.63177,0.69966,0.36717,1.69656,1.28752,1.62821,0.001208,0.001208,0.001208
26,4162.02,1.47235,1.23483,1.44422,0.73358,0.64845,0.70015,0.38198,1.68989,1.27754,1.6203,0.001175,0.001175,0.001175
27,4320.88,1.45618,1.20042,1.42151,0.73526,0.63499,0.70415,0.37723,1.70031,1.2607,1.62127,0.001142,0.001142,0.001142
28,4480.17,1.4548,1.19501,1.42892,0.72749,0.65238,0.71468,0.38139,1.67077,1.24744,1.60599,0.001109,0.001109,0.001109
29,4637.61,1.44014,1.19336,1.41816,0.73964,0.64157,0.71353,0.38497,1.66722,1.24144,1.59792,0.001076,0.001076,0.001076
30,4793.74,1.43584,1.18263,1.41772,0.75435,0.65142,0.72585,0.3947,1.65159,1.21551,1.58061,0.001043,0.001043,0.001043
31,4952.1,1.42581,1.17368,1.40802,0.76125,0.64714,0.72104,0.39605,1.65648,1.21873,1.58066,0.00101,0.00101,0.00101
32,5109.76,1.41084,1.15413,1.3987,0.77302,0.66489,0.73294,0.39953,1.66302,1.19353,1.59173,0.000977,0.000977,0.000977
33,5268.81,1.41381,1.1461,1.40241,0.79526,0.64401,0.74128,0.41219,1.62961,1.16736,1.56536,0.000944,0.000944,0.000944
34,5426.65,1.3968,1.1172,1.39002,0.77812,0.65206,0.74014,0.41529,1.62454,1.1653,1.55557,0.000911,0.000911,0.000911
35,5585.33,1.38654,1.12199,1.38508,0.78632,0.66688,0.75058,0.41954,1.61343,1.15463,1.55607,0.000878,0.000878,0.000878
36,5744.09,1.38325,1.11285,1.38476,0.784,0.6614,0.7461,0.41843,1.60699,1.14507,1.54896,0.000845,0.000845,0.000845
37,5902.18,1.37832,1.10151,1.37857,0.78917,0.68012,0.75598,0.42544,1.60424,1.12683,1.55768,0.000812,0.000812,0.000812
38,6060.89,1.36054,1.08719,1.37007,0.77595,0.68171,0.76096,0.43141,1.60191,1.10737,1.54946,0.000779,0.000779,0.000779
39,6218.96,1.35185,1.06716,1.3647,0.80531,0.68267,0.76697,0.4359,1.59091,1.08959,1.54612,0.000746,0.000746,0.000746
40,6378.05,1.34771,1.06246,1.35427,0.80796,0.68267,0.76659,0.43935,1.58498,1.0802,1.5306,0.000713,0.000713,0.000713
41,6537.44,1.33895,1.06156,1.35153,0.80436,0.68492,0.77403,0.44695,1.5678,1.06667,1.51964,0.00068,0.00068,0.00068
42,6696.6,1.32687,1.04923,1.34864,0.80792,0.68701,0.77229,0.44609,1.57049,1.07187,1.53208,0.000647,0.000647,0.000647
43,6854.56,1.32014,1.02075,1.33877,0.80725,0.68782,0.77225,0.44804,1.5542,1.06538,1.51514,0.000614,0.000614,0.000614
44,7015.83,1.32055,1.03127,1.34244,0.78768,0.69749,0.77339,0.4487,1.54616,1.07902,1.51703,0.000581,0.000581,0.000581
45,7174.92,1.30575,1.01271,1.33549,0.79757,0.70192,0.77905,0.45537,1.53753,1.05535,1.50594,0.000548,0.000548,0.000548
46,7335.44,1.29863,1.00621,1.3295,0.80578,0.70586,0.7853,0.46013,1.53053,1.04573,1.50521,0.000515,0.000515,0.000515
47,7495.54,1.29242,0.99673,1.32535,0.81092,0.70744,0.78878,0.4665,1.51845,1.03602,1.48838,0.000482,0.000482,0.000482
48,7657.33,1.27274,0.97539,1.31377,0.8101,0.70973,0.79053,0.46781,1.51739,1.02516,1.49542,0.000449,0.000449,0.000449
